dl.smv		dl.lola		dl.mcm		dl.clp		dl.smod		dl.cnmc		
stat	result	stat	result	stat	result	stat	result	stat	result	stat	result	input
killed	?	killed	?	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/pr/small/cottbus_plate_5.sync
killed	?	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/pr/small/dijkstra_2
killed	?	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/pr/small/dijkstra_2.sync
killed	?	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/pr/small/dme2
killed	?	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/pr/small/dme3
killed	?	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/pr/small/dme4
0	DEAD	0	DEAD	0	DEAD	0	DEAD	0	DEAD	0	DEAD	test/nets/pr/small/do_od
0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/pr/small/eisenbahn
0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/pr/small/eisenbahn.sync
killed	?	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/pr/small/elevator
killed	?	0	DEAD	0	DEAD	0	DEAD	0	DEAD	0	DEAD	test/nets/pr/small/elevator_1
killed	?	0	DEAD	0	DEAD	0	DEAD	0	DEAD	0	DEAD	test/nets/pr/small/elevator_1.fsa
killed	?	0	DEAD	0	DEAD	0	DEAD	0	DEAD	0	DEAD	test/nets/pr/small/elevator_2
killed	?	0	DEAD	0	DEAD	0	DEAD	0	DEAD	0	DEAD	test/nets/pr/small/elevator_2.fsa
0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/pr/small/furnace_1.fsa
0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/pr/small/gas_station
killed	?	0	DEAD	0	DEAD	0	DEAD	0	DEAD	0	DEAD	test/nets/pr/small/key_2
killed	?	0	DEAD	0	DEAD	0	DEAD	0	DEAD	0	DEAD	test/nets/pr/small/key_2.fsa
0	DEAD	0	DEAD	0	DEAD	0	DEAD	0	DEAD	0	DEAD	test/nets/pr/small/mmgt_1.fsa
0	DEAD	0	DEAD	0	DEAD	0	DEAD	0	DEAD	0	DEAD	test/nets/pr/small/mmgt_2.fsa
killed	?	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/pr/small/mutual
0	DEAD	0	DEAD	0	DEAD-EV	0	DEAD	0	DEAD-EV	0	DEAD-EV	test/nets/pr/small/only_hl
killed	?	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/pr/small/parrow
0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/pr/small/peterson
0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/pr/small/peterson_pfa
killed	?	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/pr/small/reader_writer_2
0	DEAD	0	DEAD	0	DEAD	0	DEAD	0	DEAD	0	DEAD	test/nets/pr/small/recursion
0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/pr/small/rrr10-1.sync
killed	?	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/pr/small/rrr20-1.sync
killed	?	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/pr/small/rrr30-1.sync
killed	?	error	DEAD	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/pr/small/rrr50-1.sync
killed	?	0	LIVE	0	LIVE	0	LIVE	0	LIVE	0	LIVE	test/nets/pr/small/rw_1w1r
